42 4 2 9 4 23.75 . 1 4 0 0 1 .
25 6 0 16 3 82.5 15 1 4 0 0 0 .
42 2 0 12 3 16.25 16 3 . 1 0 0 6
46 6 3 5 1 45 19 4 4 1 1 0 3
89 0 3 12 3 45 12 1 3 1 0 1 3
18 3 0 11 4 140 16 2 3 1 0 0 5
41 3 0 11 2 200 . 4 4 0 1 1 6
56 1 0 18 1 200 10 5 6 0 1 1 6
45 1 1 12 2 140 11 5 4 0 1 1 6
25 0 0 16 1 37.5 20 1 2 1 0 1 6
24 1 0 16 2 55 20 0 3 0 0 1 .
25 4 0 16 1 67.5 16 2 3 1 0 0 6
66 0 0 16 . 45 16 0 2 1 0 1 .
36 0 0 20 1 82.5 16 1 4 0 1 1 6
65 3 0 12 3 67.5 12 2 2 0 0 1 .
44 3 0 17 2 140 14 4 5 0 0 1 3
78 0 0 11 . 21.25 . 3 3 0 0 1 .
59 5 2 20 2 200 14 0 3 0 1 1 6
65 8 2 17 1 200 12 1 2 0 1 1 6
41 0 4 17 2 . . 1 4 1 1 1 6
60 2 0 20 . 200 16 0 2 1 1 1 .
50 3 1 16 . 82.5 20 2 2 0 1 0 .
66 0 0 16 2 13.75 . 0 2 0 0 1 6
65 1 . 16 . 13.75 13 2 5 0 0 1 .
31 7 0 19 2 . . 2 4 0 1 0 6
32 3 0 20 2 67.5 12 1 1 0 1 1 6
28 2 0 16 2 82.5 16 2 3 0 1 1 6
29 3 1 12 2 16.25 . 0 4 1 0 0 2
71 2 1 18 1 200 16 5 6 0 1 1 6
44 2 0 16 3 200 16 3 . 1 1 1 6
31 0 1 10 2 32.5 10 3 . 0 0 1 6
65 0 0 13 4 13.75 . 1 4 0 1 1 3
72 2 2 17 1 67.5 16 5 5 0 1 1 3
45 4 2 18 2 100 13 4 4 1 1 1 3
19 0 0 8 . 6.5 . 3 . 0 0 1 .
23 0 0 11 2 . . 2 . 0 0 1 4
55 5 2 10 1 4.5 14 1 4 0 0 0 0
74 3 5 12 2 8.5 . 0 5 1 0 1 3
60 4 0 12 2 11.25 4 0 2 0 1 0 6
38 7 0 9 2 3.5 6 0 5 0 0 1 4
75 0 2 9 . 11.25 . 1 4 0 0 1 .
55 0 0 15 2 21.25 . 3 4 1 0 1 6
28 0 0 16 2 27.5 18 2 4 0 0 1 3
75 2 4 7 4 55 . 1 4 0 1 1 6
28 0 2 14 . 27.5 . 3 4 1 1 0 .
24 2 0 17 1 140 . 2 4 1 0 1 6
53 4 1 14 3 6.5 18 1 3 1 0 1 3
40 1 1 14 2 82.5 12 4 4 1 0 1 6
55 7 2 16 2 82.5 10 3 4 1 1 1 3
70 2 3 12 2 200 8 3 5 0 1 1 6
52 0 3 16 . 120 12 1 3 1 0 1 .
63 0 4 13 2 100 12 1 6 0 1 1 6
69 4 2 16 2 . 12 4 4 1 1 1 3
38 5 2 17 2 200 12 2 5 0 1 1 6
63 2 0 16 3 27.5 10 3 . 0 0 1 6
43 2 0 19 2 11.25 19 5 5 0 . 1 3
31 0 3 12 2 67.5 12 3 5 0 0 1 3
60 2 2 16 . 140 12 2 3 1 1 1 .
59 5 3 16 . 140 10 1 4 0 0 1 .
54 5 2 18 1 200 16 2 3 1 1 1 3
38 2 2 16 2 200 20 2 2 0 1 1 6
47 0 2 18 2 200 . 1 3 1 1 1 6
54 0 0 16 3 . 9 1 3 1 1 0 6
25 3 0 16 1 100 16 0 2 0 0 1 6
34 2 2 12 . 100 . 1 3 1 0 0 .
54 0 2 18 3 200 16 0 2 1 1 1 6
57 2 0 18 2 100 18 1 2 1 1 1 6
21 0 0 14 . 13.75 16 2 3 1 0 1 .
66 2 2 12 3 82.5 13 0 1 0 0 1 6
69 5 3 12 2 82.5 16 0 4 0 1 1 2
50 1 2 17 2 200 15 3 4 1 1 0 6
65 5 2 13 3 67.5 10 3 4 1 1 0 6
74 1 4 19 2 200 19 0 2 0 1 1 6
68 3 2 16 2 200 12 5 6 0 1 1 3
65 0 1 18 1 45 16 4 6 0 0 1 6
54 0 2 16 2 200 18 2 3 0 1 1 6
63 2 2 16 . 200 . 0 1 0 0 1 .
66 0 1 18 . 120 16 2 3 0 0 1 .
